City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shizunai-furukawacho,42.3339,142.3669,0.65,65,100,14.44,JP,1738809928
1,sangmelima,2.9333,11.9833,20.34,98,98,1.68,CM,1738809929
2,amahai,-3.3333,128.9167,29.73,63,90,0.77,ID,1738809930
3,buckeye,33.3703,-112.5838,20.82,33,0,0.0,US,1738809931
4,waitangi,-43.9535,-176.5597,16.01,75,39,2.68,NZ,1738809932
5,arraial do cabo,-22.9661,-42.0278,23.98,94,0,6.17,BR,1738809933
6,newman,37.3138,-121.0208,8.92,68,0,1.61,US,1738809934
7,kambove,-10.8764,26.5969,16.79,99,100,1.24,CD,1738809935
8,iqaluit,63.7506,-68.5145,-31.15,69,40,2.06,CA,1738809937
9,bredasdorp,-34.5322,20.0403,17.69,52,100,2.25,ZA,1738809938
10,port-aux-francais,-49.35,70.2167,7.3,95,95,10.02,TF,1738809939
11,edinburgh of the seven seas,-37.0676,-12.3116,18.99,93,83,11.81,SH,1738809940
12,lata,40.1629,-8.3327,4.55,79,76,1.58,PT,1738809941
13,blackmans bay,-43.0167,147.3167,24.18,47,92,3.58,AU,1738809942
14,margaret river,-33.95,115.0667,26.14,48,0,7.35,AU,1738809944
15,nikolayevsk-on-amure,53.1406,140.73,-3.31,95,100,6.98,RU,1738809945
16,zhigalovo,54.8097,105.1578,-31.64,94,100,0.63,RU,1738809946
17,lazaro cardenas,17.9583,-102.2,24.53,77,0,1.41,MX,1738809723
18,happy valley-goose bay,53.3168,-60.3315,-18.83,60,20,5.14,CA,1738809696
19,qaqortoq,60.7167,-46.0333,-22.94,73,10,3.86,GL,1738809950
20,nelson bay,-32.7167,152.15,28.94,76,10,1.34,AU,1738809951
21,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,47,20,4.0,RU,1738809952
22,dubovka,49.0583,44.829,-3.04,70,52,6.72,RU,1738809953
23,chonchi,-42.6128,-73.8092,13.4,90,95,2.17,CL,1738809954
24,igarka,67.4667,86.5833,-20.07,99,99,2.02,RU,1738809955
25,vilyuchinsk,52.9306,158.4028,0.15,73,100,2.53,RU,1738809956
26,adamstown,-25.066,-130.1015,25.27,78,17,5.15,PN,1738809957
27,maracas,-13.4411,-40.4308,17.0,93,0,2.86,BR,1738809958
28,gobabis,-22.45,18.9667,19.78,71,37,5.06,NA,1738809960
29,willowmore,-33.2926,23.4895,16.0,74,100,3.82,ZA,1738809961
30,longyearbyen,78.2186,15.6401,0.91,69,100,6.69,SJ,1738809962
31,kuala belait,4.5833,114.1833,24.8,92,100,1.31,BN,1738809963
32,howrah,22.5892,88.3103,23.0,73,5,3.6,IN,1738809708
33,afaahiti,-17.75,-149.2833,26.37,77,78,5.96,PF,1738809965
34,ushtobe,45.2514,77.9838,-14.04,89,87,1.7,KZ,1738809966
35,nova vicosa,-17.8919,-39.3719,24.44,89,100,2.36,BR,1738809967
36,kushiro,42.975,144.3747,2.53,60,75,3.09,JP,1738809968
37,paraiso,9.8383,-83.8656,19.72,82,100,2.93,CR,1738809891
38,wailua homesteads,22.0669,-159.378,22.44,85,100,3.6,US,1738809689
39,miranda,3.2499,-76.2281,19.83,92,100,1.96,CO,1738809972
40,bilibino,68.0546,166.4372,-40.44,95,8,0.48,RU,1738809973
41,bethel,41.3712,-73.414,-4.1,59,0,0.45,US,1738809974
42,prado,-17.3411,-39.2208,25.02,86,99,3.2,BR,1738809824
43,college,64.8569,-147.8028,-8.8,80,100,0.0,US,1738809978
44,port isabel,26.0734,-97.2086,22.24,90,0,6.17,US,1738809979
45,albany,42.6001,-73.9662,-9.25,73,99,0.67,US,1738809980
46,sinabang,2.4803,96.3801,28.67,73,81,1.84,ID,1738809921
47,arkhangel'sk,64.5401,40.5433,-5.94,86,20,5.0,RU,1738809882
48,kuala tungkal,-0.8167,103.4667,27.89,71,50,4.19,ID,1738809984
49,burang,30.25,81.1667,-14.21,40,0,3.08,CN,1738809985
50,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.57,GF,1738809826
51,isafjordur,66.0755,-23.124,0.88,83,100,19.84,IS,1738809987
52,avarua,-21.2078,-159.775,29.03,79,100,3.09,CK,1738809989
53,iskateley,67.6803,53.1512,-8.35,90,100,8.25,RU,1738809990
54,puerto ayora,-0.7393,-90.3518,24.75,98,6,0.45,EC,1738809991
55,hawaiian paradise park,19.5933,-154.9731,23.26,78,100,4.12,US,1738809992
56,tanout,14.9709,8.8879,17.87,10,2,5.02,NE,1738809993
57,ola,59.5833,151.2833,-16.23,73,0,2.95,RU,1738809994
58,sisimiut,66.9395,-53.6735,-22.06,92,100,1.66,GL,1738809995
59,puerto rico,-26.796,-55.024,26.84,66,21,1.79,AR,1738809825
60,invercargill,-46.4,168.35,16.12,68,100,3.13,NZ,1738809997
61,grytviken,-54.2811,-36.5092,2.07,92,78,3.8,GS,1738809998
62,lompoc,34.6391,-120.4579,13.85,89,100,1.54,US,1738809999
63,punta arenas,-53.15,-70.9167,10.06,81,100,3.6,CL,1738809780
64,krosno,49.6887,21.7706,0.35,93,9,2.34,PL,1738810002
65,chinde,26.8212,87.7095,20.73,48,0,1.05,NP,1738810003
66,ushuaia,-54.8,-68.3,9.81,62,0,1.54,AR,1738809938
67,kalemie,-5.9475,29.1947,21.51,83,100,1.81,CD,1738810005
68,saint-pierre,-21.3393,55.4781,26.82,78,75,2.57,RE,1738809766
69,glabbeek,50.8736,4.9421,3.37,99,100,1.54,BE,1738810007
70,ilulissat,69.2167,-51.1,-23.99,58,75,6.17,GL,1738810008
71,san jose del guaviare,2.5729,-72.6459,24.84,67,94,1.55,CO,1738810009
72,udachny,66.4167,112.4,-20.03,98,100,2.02,RU,1738810010
73,puerto natales,-51.7236,-72.4875,7.69,95,100,1.12,CL,1738809899
74,galliano,29.4422,-90.2992,22.0,88,75,2.57,US,1738810013
75,wladyslawowo,54.7909,18.4009,4.41,91,68,3.93,PL,1738810014
76,ad darb,17.7229,42.2526,23.41,73,0,2.28,SA,1738810015
77,conduaga,8.862,117.4893,29.47,64,78,2.57,PH,1738810016
78,tabou,4.423,-7.3528,25.94,87,2,2.44,CI,1738810017
79,nar'yan-mar,67.6713,53.087,-8.27,90,100,8.27,RU,1738810018
80,sao geraldo do araguaia,-6.4006,-48.555,23.66,90,96,0.93,BR,1738810019
81,ko pha ngan,9.7578,100.0291,26.38,79,93,3.3,TH,1738810020
82,susuman,62.7833,148.1667,-34.99,90,59,0.68,RU,1738810022
83,al karamah,31.9522,35.5792,14.93,58,100,8.58,JO,1738810023
84,santana,-0.0583,-51.1817,27.1,89,20,1.54,BR,1738810024
85,mount pearl,47.5166,-52.7813,-10.93,72,75,10.29,CA,1738809992
86,yellowknife,62.456,-114.3525,-8.02,73,100,7.15,CA,1738810026
87,la passe,45.5549,-0.8967,5.27,90,55,5.63,FR,1738810027
88,vyazemskiy,47.5378,134.7525,-10.84,91,100,2.26,RU,1738810028
89,midvagur,62.0511,-7.1939,9.46,81,100,9.26,FO,1738810029
90,whitehorse,60.7161,-135.0538,-16.77,81,75,0.0,CA,1738809831
91,dzilam gonzalez,21.2833,-88.9333,23.85,74,0,3.36,MX,1738810031
92,kodiak,57.79,-152.4072,3.73,60,0,3.09,US,1738810032
93,revelstoke,50.9832,-118.2023,-10.99,62,100,3.09,CA,1738810034
94,bel ombre,-4.6167,55.4167,24.91,88,40,1.54,SC,1738810036
95,port saint john's,-31.6229,29.5448,21.21,89,100,0.47,ZA,1738810037
96,sorong,-0.8833,131.25,27.34,77,100,2.79,ID,1738809677
97,giado,31.9582,12.0203,9.35,74,6,1.99,LY,1738810039
98,laghouat,33.8,2.8651,7.89,71,76,2.89,DZ,1738810040
99,tiksi,71.6872,128.8694,-29.73,97,100,3.12,RU,1738810041
100,bikenibeu village,1.3673,173.1241,26.89,83,42,7.25,KI,1738810042
101,ust-nera,64.5667,143.2,-34.07,96,58,1.63,RU,1738809752
102,broome,42.2506,-75.833,-6.86,76,0,2.57,US,1738810044
103,okha,53.5739,142.9478,-2.53,87,100,11.91,RU,1738810046
104,holbaek,55.7167,11.7167,2.36,100,100,1.34,DK,1738810047
105,ribeira grande,38.5167,-28.7,17.65,94,61,7.15,PT,1738810048
106,puerto deseado,-47.7503,-65.8938,18.23,38,5,14.82,AR,1738810049
107,jamestown,42.097,-79.2353,-4.69,67,100,3.6,US,1738810050
108,san antonio de pale,-1.4014,5.6325,27.58,78,95,3.0,GQ,1738810051
109,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,1738810052
110,chernyshevsk,52.5243,117.0174,-21.71,82,46,2.48,RU,1738810053
111,mil'kovo,55.6078,37.7956,0.19,65,100,2.07,RU,1738810055
112,utete,-7.986,38.758,22.82,96,100,0.62,TZ,1738810056
113,tura,25.5198,90.2201,22.48,44,0,1.87,IN,1738810058
114,aykol,38.1751,77.2132,-2.22,40,100,1.19,CN,1738810059
115,tomatlan,19.9333,-105.25,20.21,59,0,1.41,MX,1738809861
116,namtsy,62.7161,129.6658,-32.42,94,28,1.53,RU,1738810061
117,hamilton,39.1834,-84.5333,1.11,93,100,1.34,US,1738809924
118,utrik,11.2278,169.8474,26.32,78,18,9.04,MH,1738810063
119,st. john's,47.5649,-52.7093,-10.47,70,75,10.29,CA,1738809776
120,trincomalee,8.5711,81.2335,26.53,71,59,5.75,LK,1738810065
121,yatou,37.15,122.3833,0.26,28,5,5.44,CN,1738810066
122,inarajan village,13.2736,144.7484,30.55,80,78,7.05,GU,1738810070
123,raton,36.9034,-104.4391,7.34,19,0,3.6,US,1738810071
124,winnemucca,40.973,-117.7357,-0.97,59,0,0.0,US,1738809957
125,luderitz,-26.6481,15.1594,18.21,69,77,11.22,NA,1738810073
126,pakuranga,-36.8833,174.9167,24.81,53,61,6.69,NZ,1738810074
127,tazovsky,67.4667,78.7,-17.35,96,100,2.24,RU,1738810075
128,port mathurin,-19.6833,63.4167,27.24,78,9,3.5,MU,1738810076
129,weener,53.1667,7.35,3.31,96,100,1.85,DE,1738810078
130,katsuren-haebaru,26.3369,127.8719,16.72,51,100,2.57,JP,1738810079
131,olonkinbyen,70.9221,-8.7187,-0.17,82,100,16.15,SJ,1738810080
132,enewetak,11.3474,162.3373,26.96,74,92,7.39,MH,1738810081
133,atambua,-9.1061,124.8925,26.18,80,100,2.92,ID,1738810082
134,kijang,35.2442,129.2139,-2.15,38,3,4.97,KR,1738810083
135,sitka,57.0531,-135.33,1.94,64,20,2.57,US,1738810084
136,nova sintra,14.8667,-24.7167,22.37,67,29,9.43,CV,1738810085
137,vorgashor,67.5833,63.95,-14.42,98,100,3.83,RU,1738810086
138,del rio,29.3627,-100.8968,23.06,69,0,3.09,US,1738809859
139,nchelenge,-9.3451,28.734,20.76,90,100,1.24,ZM,1738810088
140,kingston,17.997,-76.7936,26.53,57,20,1.03,JM,1738809907
141,la jolla,32.8473,-117.2742,15.58,87,75,2.57,US,1738810092
142,hithadhoo,-0.6,73.0833,27.37,70,66,4.14,MV,1738810093
143,johi,26.6921,67.6133,13.73,21,0,2.5,PK,1738810094
144,rio preto da eva,-2.6994,-59.6997,22.9,98,55,0.11,BR,1738810095
145,thompson,55.7435,-97.8558,-15.91,72,75,3.6,CA,1738810096
146,barcelos,41.5388,-8.6151,6.86,72,100,2.02,PT,1738810097
147,mococa,-21.4678,-47.0047,20.04,93,100,1.43,BR,1738810098
148,alotau,-10.3069,150.4462,28.8,70,100,4.44,PG,1738810099
149,nakama,33.8167,130.7,2.86,55,100,1.79,JP,1738810101
150,west island,-12.1568,96.8225,28.99,79,100,5.66,CC,1738810102
151,port alfred,-33.5906,26.891,18.43,100,100,1.79,ZA,1738810103
152,hassi messaoud,31.6804,6.0729,9.73,67,0,4.55,DZ,1738810104
153,mount isa,-20.7333,139.5,30.87,70,75,3.09,AU,1738810061
154,andergrove,-21.0833,149.1833,24.02,95,100,4.86,AU,1738810106
155,nasipit,8.9692,125.2947,25.2,85,100,2.68,PH,1738810107
156,hualien city,23.9769,121.6044,19.07,77,96,2.58,TW,1738810108
157,ginir,7.1333,40.7,12.15,33,48,1.93,ET,1738810110
158,lakatoro,-16.0999,167.4164,29.49,69,100,5.71,VU,1738810112
159,khadan khak,30.7477,67.7085,1.82,27,0,1.98,PK,1738810113
160,punta del este,-34.9667,-54.95,20.06,100,100,13.38,UY,1738810114
161,seymour,38.9592,-85.8903,1.53,99,100,1.34,US,1738809776
162,badger,64.8,-147.5333,-9.05,90,100,0.0,US,1738810116
163,lagunas,-5.2269,-75.6753,23.0,97,65,1.29,PE,1738810117
164,kargasok,59.0556,80.8572,-23.3,100,100,1.41,RU,1738810118
165,fort st. john,56.2499,-120.8529,-20.06,84,100,4.63,CA,1738810119
166,bamusso,4.4591,8.9027,26.28,88,81,1.81,CM,1738810120
167,cabo san lucas,22.8909,-109.9124,17.03,71,0,3.77,MX,1738810121
168,greymouth,-42.4667,171.2,20.2,72,67,3.11,NZ,1738810062
169,keflavik,64.0049,-22.5624,4.24,75,75,13.38,IS,1738809911
170,nuku'alofa,-21.1333,-175.2,26.19,89,75,3.09,TO,1738810125
171,altay,47.8667,88.1167,-13.51,62,0,2.22,CN,1738810126
172,pemangkat,1.1667,108.9667,26.39,84,100,5.0,ID,1738810127
173,stanley,54.868,-1.6985,-0.99,100,0,2.06,GB,1738810128
174,haiku-pauwela,20.9219,-156.3051,22.34,81,75,7.15,US,1738810129
175,port douglas,-16.4833,145.4667,28.66,78,49,3.02,AU,1738810130
176,lebu,-37.6167,-73.65,15.06,89,39,5.86,CL,1738810098
177,shaowu,27.3409,117.4831,9.86,58,100,0.44,CN,1738810132
178,motueka,-41.1333,173.0167,21.72,70,98,4.09,NZ,1738810133
179,kalyazin,57.2403,37.8433,-1.1,98,51,1.85,RU,1738810134
180,praia da vitoria,38.7333,-27.0667,18.14,82,40,5.06,PT,1738810136
181,new norfolk,-42.7826,147.0587,24.4,31,98,1.0,AU,1738810137
182,harper,4.375,-7.7169,26.18,85,0,2.89,LR,1738810138
183,kailua-kona,19.6406,-155.9956,25.5,71,27,1.34,US,1738810139
184,port elizabeth,-33.918,25.5701,19.06,99,100,0.89,ZA,1738810116
185,port lincoln,-34.7333,135.8667,24.28,55,1,4.92,AU,1738809847
186,kuala terengganu,5.3302,103.1408,27.97,74,40,1.03,MY,1738810142
187,as sulayyil,20.4607,45.5779,13.71,14,20,2.63,SA,1738810143
188,tarinkot,32.6268,65.8733,2.31,44,4,2.21,AF,1738810144
189,rongelap,11.1635,166.8941,26.49,81,13,8.45,MH,1738809846
190,taghazout,30.5426,-9.7112,16.4,44,0,3.4,MA,1738810146
191,coquimbo,-29.9533,-71.3436,17.21,76,0,2.06,CL,1738809973
192,hermanus,-34.4187,19.2345,14.89,63,60,5.3,ZA,1738809909
193,champerico,14.3,-91.9167,27.21,72,66,2.7,GT,1738810151
194,bera,24.0833,89.6167,22.29,44,3,0.45,BD,1738810152
195,aguazul,5.1728,-72.5471,27.77,48,95,1.37,CO,1738810153
196,ak-dovurak,51.1833,90.6,-21.22,91,12,0.74,RU,1738810154
197,la quiaca,-22.1024,-65.593,12.62,46,31,2.2,AR,1738810155
198,darlowo,54.421,16.4107,3.86,90,100,3.68,PL,1738810156
199,romanovskaya,47.5426,42.0285,0.42,82,100,6.2,RU,1738810157
200,katsuura,35.1333,140.3,6.0,47,66,8.22,JP,1738810158
201,kameshkovo,56.3481,41.0047,-4.71,88,29,2.08,RU,1738810160
202,lihue,21.9789,-159.3672,22.77,73,100,3.6,US,1738810161
203,bolivar,37.6145,-93.4105,7.12,95,100,4.93,US,1738810162
204,poronaysk,49.2167,143.1167,0.0,81,95,6.38,RU,1738810163
205,laguna,38.421,-121.4238,9.98,61,0,2.57,US,1738810164
206,tidjikja,18.5564,-11.4271,15.23,17,0,6.11,MR,1738810165
207,constantia,44.1833,28.65,-4.61,65,6,6.11,RO,1738810166
208,natal,-5.795,-35.2094,24.12,94,75,3.09,BR,1738810167
209,inhambane,-23.865,35.3833,23.87,78,1,3.39,MZ,1738809951
210,yuzhno-kurilsk,44.0306,145.8556,0.01,67,80,2.44,RU,1738810169
211,ta`u,-14.2336,-169.5144,28.72,64,69,4.01,AS,1738810171
212,agapovka,53.2973,59.1348,-7.44,98,100,2.83,RU,1738810172
213,polyarnyy,69.1989,33.4478,-2.53,87,98,9.73,RU,1738810173
214,minas de marcona,-15.2119,-75.1103,18.91,77,100,4.05,PE,1738810174
215,pizarro,4.9533,-77.366,24.39,91,78,2.12,CO,1738810175
216,peace river,56.2501,-117.286,-17.83,84,100,3.6,CA,1738810176
217,zhangye,38.9342,100.4517,-7.98,41,1,1.16,CN,1738810177
218,thunder bay,48.4001,-89.3168,-10.01,73,100,2.57,CA,1738810178
219,khandyga,62.6667,135.6,-32.49,92,40,0.72,RU,1738810127
220,tual,-5.6667,132.75,27.48,82,100,10.12,ID,1738810050
221,alliance,40.9153,-81.1059,-0.75,68,100,4.41,US,1738810182
222,arar,30.9753,41.0381,8.01,66,0,8.23,SA,1738810183
223,cova figueira,14.8905,-24.2934,15.14,67,7,6.8,CV,1738810184
224,fort bragg,35.139,-79.006,8.75,73,100,4.63,US,1738810185
225,qurayyat,31.3318,37.3428,9.1,66,75,7.2,SA,1738810186
226,diego de almagro,-26.3667,-70.05,19.37,55,0,1.19,CL,1738810097
227,taroa,8.7058,171.2275,26.75,84,94,9.21,MH,1738810189
228,yazd,31.8972,54.3675,9.06,25,0,2.06,IR,1738810190
229,lamu,-2.2717,40.902,23.78,91,98,5.27,KE,1738810191
230,tsiombe,-25.3,45.4833,24.2,91,3,2.46,MG,1738810193
231,selfoss,63.9331,-20.9971,4.47,80,100,9.72,IS,1738810194
232,la ronge,55.1001,-105.2842,-19.86,71,40,3.09,CA,1738810195
233,crane,31.3974,-102.3501,20.96,57,0,9.02,US,1738810196
234,sao joao da barra,-21.6403,-41.0511,24.83,86,19,8.17,BR,1738810134
235,zheleznogorsk-ilimskiy,56.5768,104.1217,-26.55,92,98,2.06,RU,1738810198
236,carupano,10.6678,-63.2585,23.92,90,4,4.18,VE,1738810199
237,guerrero negro,27.9769,-114.0611,14.17,90,0,4.76,MX,1738810200
238,torghay,49.6339,63.4981,-11.49,91,12,7.41,KZ,1738810201
239,puerto aysen,-45.4,-72.7,9.86,94,100,3.58,CL,1738810202
240,kapa'a,22.0752,-159.319,23.18,86,100,3.6,US,1738810203
241,namie,37.4833,141.0,4.43,49,0,8.01,JP,1738810204
242,l'alcora,40.0667,-0.2,6.79,56,0,2.35,ES,1738810206
243,kashima-shi,35.9654,140.6447,7.72,25,19,6.11,JP,1738810207
244,portage la prairie,49.9728,-98.2926,-12.84,68,100,3.29,CA,1738810208
245,la'ie,21.6477,-157.9253,24.66,80,79,2.8,US,1738810209
246,nemuro,43.3236,145.575,-0.14,70,77,5.11,JP,1738810210
247,east london,-33.0153,27.9116,21.12,89,100,5.62,ZA,1738810211
248,mokhsogollokh,61.4681,128.9203,-32.3,93,65,1.1,RU,1738810212
249,el bauga,18.262,33.9081,19.16,20,0,7.6,SD,1738810213
250,ar ruseris,11.8659,34.3869,25.4,33,42,1.88,SD,1738810214
251,bengkulu,-3.8004,102.2655,28.52,65,34,2.3,ID,1738810215
252,margate,51.3813,1.3862,5.94,84,68,1.34,GB,1738810216
253,cabedelo,-6.9811,-34.8339,23.37,93,100,3.99,BR,1738810218
254,apaxtla de castrejon,18.15,-99.8667,20.53,49,0,1.23,MX,1738810219
255,dubovskoye,47.4092,42.7575,-0.22,89,100,5.35,RU,1738810220
256,njombe,-9.3333,34.7667,14.76,97,100,2.03,TZ,1738810221
257,antsiranana,-12.2787,49.2917,24.24,88,100,2.03,MG,1738810222
258,gadzhiyevo,69.2551,33.3362,-2.27,87,100,10.31,RU,1738810223
259,ain touta,35.3768,5.9,5.27,78,77,2.43,DZ,1738810224
260,hozat,39.1083,39.2213,-2.5,97,100,1.08,TR,1738810225
261,lycksele,64.5954,18.6735,-10.07,92,4,0.51,SE,1738810226
262,itoman,26.1247,127.6694,17.27,51,75,1.03,JP,1738810228
263,villa gonzalez ortega,22.5,-101.9167,17.01,26,0,1.3,MX,1738810229
264,faya-largeau,17.9257,19.1043,18.2,24,0,10.99,TD,1738810230
265,pisco,-13.7,-76.2167,23.03,78,75,2.57,PE,1738810231
266,malvan,16.0667,73.4667,24.51,45,28,2.37,IN,1738810232
267,veydelevka,50.1521,38.4492,-6.69,93,9,2.65,RU,1738810233
268,nouna,12.7333,-3.8667,22.21,20,26,3.82,BF,1738810234
269,dudinka,69.4058,86.1778,-21.47,99,87,3.26,RU,1738810235
270,kamina,-8.7386,24.9906,18.24,94,100,1.82,CD,1738810236
271,ziro,27.6333,93.8333,7.54,98,98,0.71,IN,1738810237
272,hammerfest,70.6634,23.6821,2.25,80,40,12.35,NO,1738810238
273,arteche,12.2645,125.4048,25.92,92,98,4.99,PH,1738810240
274,beau vallon,-20.4189,57.6953,26.13,89,20,1.54,MU,1738810242
275,papatowai,-46.5619,169.4708,14.77,56,100,3.51,NZ,1738810243
