City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
1,sangmelima,CM,2.9333,11.9833,98,Hôtel l'Afamba
2,amahai,ID,-3.3333,128.9167,63,Hotel Irene
3,buckeye,US,33.3703,-112.5838,33,Days Inn
6,newman,US,37.3138,-121.0208,68,No hotel found
7,kambove,CD,-10.8764,26.5969,99,No hotel found
17,lazaro cardenas,MX,17.9583,-102.2,77,Hotel Sol del Pacífico
27,maracas,BR,-13.4411,-40.4308,93,Pousada Vale Aprazível
31,kuala belait,BN,4.5833,114.1833,92,Hotel Sentosa
32,howrah,IN,22.5892,88.3103,73,Sun India Guest House
33,afaahiti,PF,-17.75,-149.2833,77,Omati Lodge
35,nova vicosa,BR,-17.8919,-39.3719,89,Pousada Pontal da Barra
37,paraiso,CR,9.8383,-83.8656,82,Cabinas
38,wailua homesteads,US,22.0669,-159.378,85,Hilton Garden Inn Kauai Wailua Bay
39,miranda,CO,3.2499,-76.2281,92,Encantos
42,prado,BR,-17.3411,-39.2208,86,Pousada Recanto do Prado
44,port isabel,US,26.0734,-97.2086,90,Queen Isabel Inn
46,sinabang,ID,2.4803,96.3801,73,No hotel found
48,kuala tungkal,ID,-0.8167,103.4667,71,Hotel Masa Kini
49,burang,CN,30.25,81.1667,40,No hotel found
50,remire-montjoly,GF,4.9167,-52.2667,94,Complexe Belova
54,puerto ayora,EC,-0.7393,-90.3518,98,Hostal La Mirada De Solitario George
55,hawaiian paradise park,US,19.5933,-154.9731,78,No hotel found
56,tanout,NE,14.9709,8.8879,10,No hotel found
62,lompoc,US,34.6391,-120.4579,89,Red Roof Inn Lompoc
65,chinde,NP,26.8212,87.7095,48,No hotel found
67,kalemie,CD,-5.9475,29.1947,83,Hotel du Lac
71,san jose del guaviare,CO,2.5729,-72.6459,67,El Portico
74,galliano,US,29.4422,-90.2992,88,Fairfield Inn & Suites Cut Off-Galliano
76,ad darb,SA,17.7229,42.2526,73,No hotel found
77,conduaga,PH,8.862,117.4893,64,No hotel found
78,tabou,CI,4.423,-7.3528,87,hôtel le rochet
80,sao geraldo do araguaia,BR,-6.4006,-48.555,90,Hotel Canaã
81,ko pha ngan,TH,9.7578,100.0291,79,The Shore Resort
83,al karamah,JO,31.9522,35.5792,58,الجسر الاردن
84,santana,BR,-0.0583,-51.1817,89,Hotel Teodoro
91,dzilam gonzalez,MX,21.2833,-88.9333,74,No hotel found
94,bel ombre,SC,-4.6167,55.4167,88,Villa La Cachette
96,sorong,ID,-0.8833,131.25,77,Hotel Membramo Marina
97,giado,LY,31.9582,12.0203,74,فندق جادو السياحي
98,laghouat,DZ,33.8,2.8651,71,فندق سيشال
100,bikenibeu village,KI,1.3673,173.1241,83,Otintaai Hotel
105,ribeira grande,PT,38.5167,-28.7,94,Hospedaria JSF
108,san antonio de pale,GQ,-1.4014,5.6325,78,No hotel found
109,flying fish cove,CX,-10.4217,105.6791,83,Christmas Island Lodge
112,utete,TZ,-7.986,38.758,96,No hotel found
113,tura,IN,25.5198,90.2201,44,Hotel Polo Orchid
114,aykol,CN,38.1751,77.2132,40,No hotel found
115,tomatlan,MX,19.9333,-105.25,59,Hotel Hacienda Vieja Tomatlan
117,hamilton,US,39.1834,-84.5333,93,North Vista Manor
118,utrik,MH,11.2278,169.8474,78,No hotel found
120,trincomalee,LK,8.5711,81.2335,71,Summer set inn
121,yatou,CN,37.15,122.3833,28,盛悦商务酒店
122,inarajan village,GU,13.2736,144.7484,80,No hotel found
123,raton,US,36.9034,-104.4391,19,Travelodge
130,katsuren-haebaru,JP,26.3369,127.8719,51,No hotel found
132,enewetak,MH,11.3474,162.3373,74,No hotel found
133,atambua,ID,-9.1061,124.8925,80,Hotel Matahari
134,kijang,KR,35.2442,129.2139,38,힐튼호텔 부산
136,nova sintra,CV,14.8667,-24.7167,67,Residência Ka Dencho
138,del rio,US,29.3627,-100.8968,69,La Quinta Inn Del Rio
139,nchelenge,ZM,-9.3451,28.734,90,No hotel found
140,kingston,JM,17.997,-76.7936,57,Aphrodite Hotel
141,la jolla,US,32.8473,-117.2742,87,Grande Colonial La Jolla
142,hithadhoo,MV,-0.6,73.0833,70,Pebbles Inn
143,johi,PK,26.6921,67.6133,21,No hotel found
144,rio preto da eva,BR,-2.6994,-59.6997,98,Hotel Santo Antonio
148,alotau,PG,-10.3069,150.4462,70,Alotau International Hotel
149,nakama,JP,33.8167,130.7,55,ニューホープ
150,west island,CC,-12.1568,96.8225,79,Cocos Village Bungalows
152,hassi messaoud,DZ,31.6804,6.0729,67,AMC
155,nasipit,PH,8.9692,125.2947,85,No hotel found
156,hualien city,TW,23.9769,121.6044,77,view hoster
157,ginir,ET,7.1333,40.7,33,No hotel found
158,lakatoro,VU,-16.0999,167.4164,69,No hotel found
159,khadan khak,PK,30.7477,67.7085,27,No hotel found
161,seymour,US,38.9592,-85.8903,99,Quality Inn & Suites
163,lagunas,PE,-5.2269,-75.6753,97,Hospedaje Eco
166,bamusso,CM,4.4591,8.9027,88,No hotel found
167,cabo san lucas,MX,22.8909,-109.9124,71,Comfort Rooms
172,pemangkat,ID,1.1667,108.9667,84,Hotel Kelapa Gading
174,haiku-pauwela,US,20.9219,-156.3051,81,Inn At Mama's Fish House
175,port douglas,AU,-16.4833,145.4667,78,Mantra Aqueous Port Douglas
177,shaowu,CN,27.3409,117.4831,58,Jinqiu Hotel
180,praia da vitoria,PT,38.7333,-27.0667,82,Salles
182,harper,LR,4.375,-7.7169,85,No hotel found
183,kailua-kona,US,19.6406,-155.9956,71,PACIFIC 19 Kona
186,kuala terengganu,MY,5.3302,103.1408,74,Uncle Homestay
187,as sulayyil,SA,20.4607,45.5779,14,No hotel found
188,tarinkot,AF,32.6268,65.8733,44,No hotel found
189,rongelap,MH,11.1635,166.8941,81,No hotel found
190,taghazout,MA,30.5426,-9.7112,44,Riad Taghazout
193,champerico,GT,14.3,-91.9167,72,Hotel y Restaurante El Submarino
194,bera,BD,24.0833,89.6167,44,No hotel found
195,aguazul,CO,5.1728,-72.5471,48,Hotel Herblan
200,katsuura,JP,35.1333,140.3,47,潮騒の宿
202,lihue,US,21.9789,-159.3672,73,Kauai Palms
203,bolivar,US,37.6145,-93.4105,95,Best Western Plus
205,laguna,US,38.421,-121.4238,61,Holiday Inn Express & Suites
206,tidjikja,MR,18.5564,-11.4271,17,No hotel found
208,natal,BR,-5.795,-35.2094,94,Natal Palace Hotel
211,ta`u,AS,-14.2336,-169.5144,64,No hotel found
214,minas de marcona,PE,-15.2119,-75.1103,77,No hotel found
215,pizarro,CO,4.9533,-77.366,91,No hotel found
217,zhangye,CN,38.9342,100.4517,41,Zhangye Hotel 张掖饭店
220,tual,ID,-5.6667,132.75,82,Suita
222,arar,SA,30.9753,41.0381,66,دار أوتيل Dar Otel
223,cova figueira,CV,14.8905,-24.2934,67,No hotel found
224,fort bragg,US,35.139,-79.006,73,Airborne Inn Lodging
225,qurayyat,SA,31.3318,37.3428,66,دانة الشمال
227,taroa,MH,8.7058,171.2275,84,No hotel found
228,yazd,IR,31.8972,54.3675,25,هتل سنتی مهر
229,lamu,KE,-2.2717,40.902,91,Hotel Archipelago villa bed and breakfast
233,crane,US,31.3974,-102.3501,57,No hotel found
236,carupano,VE,10.6678,-63.2585,90,Hotel El Yunque
237,guerrero negro,MX,27.9769,-114.0611,90,Plaza sal paraiso
240,kapa'a,US,22.0752,-159.319,86,Pono Kai Resort
241,namie,JP,37.4833,141.0,49,HOTELなみえ
243,kashima-shi,JP,35.9654,140.6447,25,ベストイン鹿嶋
245,la'ie,US,21.6477,-157.9253,80,No hotel found
249,el bauga,SD,18.262,33.9081,20,No hotel found
250,ar ruseris,SD,11.8659,34.3869,33,No hotel found
251,bengkulu,ID,-3.8004,102.2655,65,Dena Hotel
253,cabedelo,BR,-6.9811,-34.8339,93,No hotel found
254,apaxtla de castrejon,MX,18.15,-99.8667,49,No hotel found
256,njombe,TZ,-9.3333,34.7667,97,Dosmeza hotel
257,antsiranana,MG,-12.2787,49.2917,88,Central
259,ain touta,DZ,35.3768,5.9,78,Hôtel d'Or
260,hozat,TR,39.1083,39.2213,97,No hotel found
262,itoman,JP,26.1247,127.6694,51,No hotel found
263,villa gonzalez ortega,MX,22.5,-101.9167,26,No hotel found
264,faya-largeau,TD,17.9257,19.1043,24,No hotel found
265,pisco,PE,-13.7,-76.2167,78,La Portada
266,malvan,IN,16.0667,73.4667,45,Hotel Silver Sand
268,nouna,BF,12.7333,-3.8667,20,No hotel found
270,kamina,CD,-8.7386,24.9906,94,Hôtel DG
271,ziro,IN,27.6333,93.8333,98,No hotel found
273,arteche,PH,12.2645,125.4048,92,No hotel found
277,san luis de la loma,MX,17.2706,-100.8939,78,No hotel found
278,daru,PG,-9.0763,143.2092,81,Kuki
279,fonte boa,BR,-2.4959,-66.2662,99,No hotel found
280,al harithah,IQ,30.7186,47.7208,88,No hotel found
281,al wajh,SA,26.2455,36.4525,63,فندق رالين 2
284,kudahuvadhoo,MV,2.6708,72.8944,69,Hotel Riu Palace Maldivas
287,palikir - national government center,FM,6.9248,158.1611,62,Mangrove Bay Hotel
289,kununurra,AU,-15.7667,128.7333,62,No hotel found
290,georgetown,MY,5.4112,100.3354,65,Page 63 hostel
293,taoudenni,ML,22.6783,-3.9836,23,No hotel found
295,lagos,NG,6.5833,3.75,89,No hotel found
296,alquizar,CU,22.8058,-82.5842,79,No hotel found
298,san patricio,US,28.017,-97.5169,83,No hotel found
299,kosti,SD,13.1629,32.6635,24,Gasr-Alneel Hotel
305,salalah,OM,17.0151,54.0924,73,Muscat International Hotel
306,puerto armuelles,PA,8.2833,-82.8667,69,Coco del Mar
308,frontera,MX,26.9333,-101.45,58,Quirino
311,myanaung,MM,18.2833,95.3167,48,No hotel found
313,xichang,CN,27.8964,102.2634,60,No hotel found
315,vinchia,IN,22.2,71.3667,28,No hotel found
316,saipan,MP,15.1355,145.701,70,Chalan Kanoa Beach Hotel
317,salanso,BF,12.1833,-4.0833,18,auberge catho solenzo
321,banda aceh,ID,5.5577,95.3222,72,Hotel 61
322,kourou,GF,5.1552,-52.6478,95,SCI Horizon
324,labasa,FJ,-16.4167,179.3833,73,Grand Eastern Hotel
326,puerto baquerizo moreno,EC,-0.9,-89.6,87,Dory's House
328,uturoa,PF,-16.7333,-151.4333,74,Hawaiki Nui hotel
329,mahavelona,MG,-17.6848,49.5087,90,No hotel found
330,ciudad constitucion,MX,25.0369,-111.6644,80,Hotel El Arbolito
